Reference year,Region of usual residence (SA4),Sex,Industry of main job,Weighted median of Weekly earnings in main job (for means and medians) (%)
Aug-19,New South Wales,Female,Health Care and Social Assistance,974.1
Aug-19,New South Wales,Female,Arts and Recreation Services,807.5
Aug-19,New South Wales,Female,Other Services,809.4
Aug-19,Victoria,Male,"Agriculture, Forestry and Fishing",1000
Aug-19,Victoria,Male,Mining,0
Aug-19,Victoria,Male,Manufacturing,1150
Aug-19,Victoria,Male,"Electricity, Gas, Water and Waste Services",1708.2
Aug-19,Victoria,Male,Construction,1364.7
Aug-19,Victoria,Male,Wholesale Trade,1130.2
Aug-19,Victoria,Male,Retail Trade,900.9
Aug-19,Victoria,Male,Accommodation and Food Services,500
Aug-19,Victoria,Male,"Transport, Postal and Warehousing",1250
Aug-19,Victoria,Male,Information Media and Telecommunications,1383.7
Aug-19,Victoria,Male,Financial and Insurance Services,1534
Aug-19,Victoria,Male,"Rental, Hiring and Real Estate Services",1254.3
Aug-19,Victoria,Male,"Professional, Scientific and Technical Services",1713.5
Aug-19,Victoria,Male,Administrative and Support Services,1053.7
Aug-19,Victoria,Male,Public Administration and Safety,1534.5
Aug-19,Victoria,Male,Education and Training,1495.1
Aug-19,Victoria,Male,Health Care and Social Assistance,1250
Aug-19,Victoria,Male,Arts and Recreation Services,875.7
Aug-19,Victoria,Male,Other Services,1073.4
Aug-19,Victoria,Female,"Agriculture, Forestry and Fishing",0
Aug-19,Victoria,Female,Mining,0
Aug-19,Victoria,Female,Manufacturing,900
Aug-19,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
Aug-19,Victoria,Female,Construction,1090.7
Aug-19,Victoria,Female,Wholesale Trade,958.4
Aug-19,Victoria,Female,Retail Trade,479
Aug-19,Victoria,Female,Accommodation and Food Services,441
Aug-19,Victoria,Female,"Transport, Postal and Warehousing",984.2
Aug-19,Victoria,Female,Information Media and Telecommunications,707.3
Aug-19,Victoria,Female,Financial and Insurance Services,1419.8
Aug-19,Victoria,Female,"Rental, Hiring and Real Estate Services",1018.6
Aug-19,Victoria,Female,"Professional, Scientific and Technical Services",1214.6
Aug-19,Victoria,Female,Administrative and Support Services,800
Aug-19,Victoria,Female,Public Administration and Safety,1248.5
Aug-19,Victoria,Female,Education and Training,1087.9
Aug-19,Victoria,Female,Health Care and Social Assistance,989.1
Aug-19,Victoria,Female,Arts and Recreation Services,525.7
Aug-19,Victoria,Female,Other Services,808.1
Aug-19,Queensland,Male,"Agriculture, Forestry and Fishing",1239.2
Aug-19,Queensland,Male,Mining,2500
Aug-19,Queensland,Male,Manufacturing,1196.7
Aug-19,Queensland,Male,"Electricity, Gas, Water and Waste Services",1438
Aug-19,Queensland,Male,Construction,1418.1
Aug-19,Queensland,Male,Wholesale Trade,1202.7
Aug-19,Queensland,Male,Retail Trade,900
Aug-19,Queensland,Male,Accommodation and Food Services,570
Aug-19,Queensland,Male,"Transport, Postal and Warehousing",1571.4
Aug-19,Queensland,Male,Information Media and Telecommunications,1907.5
Aug-19,Queensland,Male,Financial and Insurance Services,1428.1
Aug-19,Queensland,Male,"Rental, Hiring and Real Estate Services",1121.7
Aug-19,Queensland,Male,"Professional, Scientific and Technical Services",1669.4
Aug-19,Queensland,Male,Administrative and Support Services,1048.1
Aug-19,Queensland,Male,Public Administration and Safety,1400
Aug-19,Queensland,Male,Education and Training,1538.9
Aug-19,Queensland,Male,Health Care and Social Assistance,1422.2
Aug-19,Queensland,Male,Arts and Recreation Services,816.7
Aug-19,Queensland,Male,Other Services,1200
Aug-19,Queensland,Female,"Agriculture, Forestry and Fishing",906.9
Aug-19,Queensland,Female,Mining,0
Aug-19,Queensland,Female,Manufacturing,988.9
Aug-19,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-19,Queensland,Female,Construction,936.1
Aug-19,Queensland,Female,Wholesale Trade,1337.1
Aug-19,Queensland,Female,Retail Trade,582.4
Aug-19,Queensland,Female,Accommodation and Food Services,500
Aug-19,Queensland,Female,"Transport, Postal and Warehousing",1081.8
Aug-19,Queensland,Female,Information Media and Telecommunications,918.6
Aug-19,Queensland,Female,Financial and Insurance Services,1064.2
Aug-19,Queensland,Female,"Rental, Hiring and Real Estate Services",1169
Aug-19,Queensland,Female,"Professional, Scientific and Technical Services",1085.1
Aug-19,Queensland,Female,Administrative and Support Services,813.4
Aug-19,Queensland,Female,Public Administration and Safety,1278.3
Aug-19,Queensland,Female,Education and Training,1092.3
Aug-19,Queensland,Female,Health Care and Social Assistance,999.3
Aug-19,Queensland,Female,Arts and Recreation Services,953.8
Aug-19,Queensland,Female,Other Services,717.6
Aug-19,South Australia,Male,"Agriculture, Forestry and Fishing",1055.7
Aug-19,South Australia,Male,Mining,1925.8
Aug-19,South Australia,Male,Manufacturing,1258.6
Aug-19,South Australia,Male,"Electricity, Gas, Water and Waste Services",1803.1
Aug-19,South Australia,Male,Construction,1229.4
Aug-19,South Australia,Male,Wholesale Trade,1249.5
Aug-19,South Australia,Male,Retail Trade,804.3
Aug-19,South Australia,Male,Accommodation and Food Services,600
Aug-19,South Australia,Male,"Transport, Postal and Warehousing",1288.7
Aug-19,South Australia,Male,Information Media and Telecommunications,986
Aug-19,South Australia,Male,Financial and Insurance Services,0
Aug-19,South Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-19,South Australia,Male,"Professional, Scientific and Technical Services",1493.2
Aug-19,South Australia,Male,Administrative and Support Services,1000
Aug-19,South Australia,Male,Public Administration and Safety,1405.1
Aug-19,South Australia,Male,Education and Training,1360.8
Aug-19,South Australia,Male,Health Care and Social Assistance,1245.6
Aug-19,South Australia,Male,Arts and Recreation Services,0
Aug-19,South Australia,Male,Other Services,999.3
Aug-19,South Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-19,South Australia,Female,Mining,0
Aug-19,South Australia,Female,Manufacturing,802.1
Aug-19,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-19,South Australia,Female,Construction,1225.9
Aug-19,South Australia,Female,Wholesale Trade,1039
Aug-19,South Australia,Female,Retail Trade,631.1
Aug-19,South Australia,Female,Accommodation and Food Services,406.4
Aug-19,South Australia,Female,"Transport, Postal and Warehousing",0
Aug-19,South Australia,Female,Information Media and Telecommunications,0
Aug-19,South Australia,Female,Financial and Insurance Services,1217.7
Aug-19,South Australia,Female,"Rental, Hiring and Real Estate Services",0
Aug-19,South Australia,Female,"Professional, Scientific and Technical Services",951.7
Aug-19,South Australia,Female,Administrative and Support Services,543.6
Aug-19,South Australia,Female,Public Administration and Safety,1246.9
Aug-19,South Australia,Female,Education and Training,1000
Aug-19,South Australia,Female,Health Care and Social Assistance,950
Aug-19,South Australia,Female,Arts and Recreation Services,0
Aug-19,South Australia,Female,Other Services,750
Aug-19,Western Australia,Male,"Agriculture, Forestry and Fishing",1513
Aug-19,Western Australia,Male,Mining,2400
Aug-19,Western Australia,Male,Manufacturing,1364.3
Aug-19,Western Australia,Male,"Electricity, Gas, Water and Waste Services",1904.6
Aug-19,Western Australia,Male,Construction,1465.1
Aug-19,Western Australia,Male,Wholesale Trade,1519.7
Aug-19,Western Australia,Male,Retail Trade,954
Aug-19,Western Australia,Male,Accommodation and Food Services,447.5
Aug-19,Western Australia,Male,"Transport, Postal and Warehousing",1581.9
Aug-19,Western Australia,Male,Information Media and Telecommunications,0
Aug-19,Western Australia,Male,Financial and Insurance Services,1834.8
Aug-19,Western Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-19,Western Australia,Male,"Professional, Scientific and Technical Services",1840.3
Aug-19,Western Australia,Male,Administrative and Support Services,1175.7
Aug-19,Western Australia,Male,Public Administration and Safety,1700
Aug-19,Western Australia,Male,Education and Training,1563.2
Aug-19,Western Australia,Male,Health Care and Social Assistance,1172.3
Aug-19,Western Australia,Male,Arts and Recreation Services,946.7
Aug-19,Western Australia,Male,Other Services,1597.8
Aug-19,Western Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-19,Western Australia,Female,Mining,1742.5
Aug-19,Western Australia,Female,Manufacturing,979.3
Aug-19,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-19,Western Australia,Female,Construction,1249.9
Aug-19,Western Australia,Female,Wholesale Trade,1202.6
Aug-19,Western Australia,Female,Retail Trade,702.1
Aug-19,Western Australia,Female,Accommodation and Food Services,500
Aug-19,Western Australia,Female,"Transport, Postal and Warehousing",1000
Aug-19,Western Australia,Female,Information Media and Telecommunications,0
Aug-19,Western Australia,Female,Financial and Insurance Services,1254.9
Aug-19,Western Australia,Female,"Rental, Hiring and Real Estate Services",1049.9
Aug-19,Western Australia,Female,"Professional, Scientific and Technical Services",1141.9
Aug-19,Western Australia,Female,Administrative and Support Services,1000
Aug-19,Western Australia,Female,Public Administration and Safety,1392.4
Aug-19,Western Australia,Female,Education and Training,1100
Aug-19,Western Australia,Female,Health Care and Social Assistance,919.1
Aug-19,Western Australia,Female,Arts and Recreation Services,658.5
Aug-19,Western Australia,Female,Other Services,623.8
Aug-19,Tasmania,Male,"Agriculture, Forestry and Fishing",1112.4
Aug-19,Tasmania,Male,Mining,0
Aug-19,Tasmania,Male,Manufacturing,1123.3
Aug-19,Tasmania,Male,"Electricity, Gas, Water and Waste Services",0
Aug-19,Tasmania,Male,Construction,1250
Aug-19,Tasmania,Male,Wholesale Trade,959.4
Aug-19,Tasmania,Male,Retail Trade,960.4
Aug-19,Tasmania,Male,Accommodation and Food Services,700.2
Aug-19,Tasmania,Male,"Transport, Postal and Warehousing",975.4
Aug-19,Tasmania,Male,Information Media and Telecommunications,0
Aug-19,Tasmania,Male,Financial and Insurance Services,0
Aug-19,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-19,Tasmania,Male,"Professional, Scientific and Technical Services",1274.8
Aug-19,Tasmania,Male,Administrative and Support Services,0
Aug-19,Tasmania,Male,Public Administration and Safety,1570
Aug-19,Tasmania,Male,Education and Training,1335
Aug-19,Tasmania,Male,Health Care and Social Assistance,1229.4
Aug-19,Tasmania,Male,Arts and Recreation Services,939.5
Aug-19,Tasmania,Male,Other Services,1024.5
Aug-19,Tasmania,Female,"Agriculture, Forestry and Fishing",796.5
Aug-19,Tasmania,Female,Mining,0
Aug-19,Tasmania,Female,Manufacturing,619.4
Aug-19,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-19,Tasmania,Female,Construction,0
Aug-19,Tasmania,Female,Wholesale Trade,0
Aug-19,Tasmania,Female,Retail Trade,550
Aug-19,Tasmania,Female,Accommodation and Food Services,505.8
Aug-19,Tasmania,Female,"Transport, Postal and Warehousing",0
Aug-19,Tasmania,Female,Information Media and Telecommunications,0
Aug-19,Tasmania,Female,Financial and Insurance Services,0
Aug-19,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
Aug-19,Tasmania,Female,"Professional, Scientific and Technical Services",754.8
Aug-19,Tasmania,Female,Administrative and Support Services,0
Aug-19,Tasmania,Female,Public Administration and Safety,1354.4
Aug-19,Tasmania,Female,Education and Training,1101.1
Aug-19,Tasmania,Female,Health Care and Social Assistance,1000
Aug-19,Tasmania,Female,Arts and Recreation Services,786.9
Aug-19,Tasmania,Female,Other Services,903.4
Aug-19,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-19,Northern Territory,Male,Mining,0
Aug-19,Northern Territory,Male,Manufacturing,1108.1
Aug-19,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-19,Northern Territory,Male,Construction,1540
Aug-19,Northern Territory,Male,Wholesale Trade,0
Aug-19,Northern Territory,Male,Retail Trade,976
Aug-19,Northern Territory,Male,Accommodation and Food Services,750
Aug-19,Northern Territory,Male,"Transport, Postal and Warehousing",1200
Aug-19,Northern Territory,Male,Information Media and Telecommunications,0
Aug-19,Northern Territory,Male,Financial and Insurance Services,0
Aug-19,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-19,Northern Territory,Male,"Professional, Scientific and Technical Services",1931.3
Aug-19,Northern Territory,Male,Administrative and Support Services,1250.7
Aug-19,Northern Territory,Male,Public Administration and Safety,1692.3
Aug-19,Northern Territory,Male,Education and Training,1770.4
Aug-19,Northern Territory,Male,Health Care and Social Assistance,1349.8
Aug-19,Northern Territory,Male,Arts and Recreation Services,0
Aug-19,Northern Territory,Male,Other Services,1327.7
Aug-19,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-19,Northern Territory,Female,Mining,0
Aug-19,Northern Territory,Female,Manufacturing,0
Aug-19,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-19,Northern Territory,Female,Construction,0
Aug-19,Northern Territory,Female,Wholesale Trade,0
Aug-19,Northern Territory,Female,Retail Trade,785.8
Aug-19,Northern Territory,Female,Accommodation and Food Services,780.4
Aug-19,Northern Territory,Female,"Transport, Postal and Warehousing",0
Aug-19,Northern Territory,Female,Information Media and Telecommunications,0
Aug-19,Northern Territory,Female,Financial and Insurance Services,0
Aug-19,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-19,Northern Territory,Female,"Professional, Scientific and Technical Services",1342.9
Aug-19,Northern Territory,Female,Administrative and Support Services,0
Aug-19,Northern Territory,Female,Public Administration and Safety,1541.6
Aug-19,Northern Territory,Female,Education and Training,1650
Aug-19,Northern Territory,Female,Health Care and Social Assistance,1150
Aug-19,Northern Territory,Female,Arts and Recreation Services,0
Aug-19,Northern Territory,Female,Other Services,0
Aug-19,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-19,Australian Capital Territory,Male,Mining,0
Aug-19,Australian Capital Territory,Male,Manufacturing,0
Aug-19,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-19,Australian Capital Territory,Male,Construction,1400
Aug-19,Australian Capital Territory,Male,Wholesale Trade,0
Aug-19,Australian Capital Territory,Male,Retail Trade,0
Aug-19,Australian Capital Territory,Male,Accommodation and Food Services,441.3
Aug-19,Australian Capital Territory,Male,"Transport, Postal and Warehousing",0
Aug-19,Australian Capital Territory,Male,Information Media and Telecommunications,0
Aug-19,Australian Capital Territory,Male,Financial and Insurance Services,0
Aug-19,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-19,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",1879.9
Aug-19,Australian Capital Territory,Male,Administrative and Support Services,0
Aug-19,Australian Capital Territory,Male,Public Administration and Safety,1927.4
Aug-19,Australian Capital Territory,Male,Education and Training,1397.1
Aug-19,Australian Capital Territory,Male,Health Care and Social Assistance,1014
Aug-19,Australian Capital Territory,Male,Arts and Recreation Services,0
Aug-19,Australian Capital Territory,Male,Other Services,0
Aug-19,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-19,Australian Capital Territory,Female,Mining,0
Aug-19,Australian Capital Territory,Female,Manufacturing,0
Aug-19,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-19,Australian Capital Territory,Female,Construction,0
Aug-19,Australian Capital Territory,Female,Wholesale Trade,0
Aug-19,Australian Capital Territory,Female,Retail Trade,500
Aug-19,Australian Capital Territory,Female,Accommodation and Food Services,0
Aug-19,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
Aug-19,Australian Capital Territory,Female,Information Media and Telecommunications,0
Aug-19,Australian Capital Territory,Female,Financial and Insurance Services,0
Aug-19,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-19,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1300
Aug-19,Australian Capital Territory,Female,Administrative and Support Services,0
Aug-19,Australian Capital Territory,Female,Public Administration and Safety,1437.6
Aug-19,Australian Capital Territory,Female,Education and Training,1060.2
Aug-19,Australian Capital Territory,Female,Health Care and Social Assistance,963.9
Aug-19,Australian Capital Territory,Female,Arts and Recreation Services,0
Aug-19,Australian Capital Territory,Female,Other Services,0
Aug-20,New South Wales,Male,"Agriculture, Forestry and Fishing",1000
Aug-20,New South Wales,Male,Mining,2140.3
Aug-20,New South Wales,Male,Manufacturing,1346
Aug-20,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1800
Aug-20,New South Wales,Male,Construction,1250
Aug-20,New South Wales,Male,Wholesale Trade,1342
Aug-20,New South Wales,Male,Retail Trade,912.4
Aug-20,New South Wales,Male,Accommodation and Food Services,750
Aug-20,New South Wales,Male,"Transport, Postal and Warehousing",1317.2
Aug-20,New South Wales,Male,Information Media and Telecommunications,1505.6
Aug-20,New South Wales,Male,Financial and Insurance Services,2301
Aug-20,New South Wales,Male,"Rental, Hiring and Real Estate Services",1445.4
Aug-20,New South Wales,Male,"Professional, Scientific and Technical Services",1737.8
Aug-20,New South Wales,Male,Administrative and Support Services,924.3
Aug-20,New South Wales,Male,Public Administration and Safety,1514.8
Aug-20,New South Wales,Male,Education and Training,1438.5
Aug-20,New South Wales,Male,Health Care and Social Assistance,1240.8
Aug-20,New South Wales,Male,Arts and Recreation Services,750
Aug-20,New South Wales,Male,Other Services,1053.2
Aug-20,New South Wales,Female,"Agriculture, Forestry and Fishing",0
Aug-20,New South Wales,Female,Mining,0
Aug-20,New South Wales,Female,Manufacturing,1019.6
Aug-20,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-20,New South Wales,Female,Construction,917.5
Aug-20,New South Wales,Female,Wholesale Trade,1099.8
Aug-20,New South Wales,Female,Retail Trade,750
Aug-20,New South Wales,Female,Accommodation and Food Services,696.1
Aug-20,New South Wales,Female,"Transport, Postal and Warehousing",1000
Aug-20,New South Wales,Female,Information Media and Telecommunications,1600.4
Aug-20,New South Wales,Female,Financial and Insurance Services,1400
Aug-20,New South Wales,Female,"Rental, Hiring and Real Estate Services",965.2
Aug-20,New South Wales,Female,"Professional, Scientific and Technical Services",1257.7
Aug-20,New South Wales,Female,Administrative and Support Services,800
Aug-20,New South Wales,Female,Public Administration and Safety,1349.4
Aug-20,New South Wales,Female,Education and Training,1293.8
Aug-20,New South Wales,Female,Health Care and Social Assistance,1000
Aug-20,New South Wales,Female,Arts and Recreation Services,750
Aug-20,New South Wales,Female,Other Services,750
Aug-20,Victoria,Male,"Agriculture, Forestry and Fishing",772.3
Aug-20,Victoria,Male,Mining,0
Aug-20,Victoria,Male,Manufacturing,1352.7
Aug-20,Victoria,Male,"Electricity, Gas, Water and Waste Services",1847.5
Aug-20,Victoria,Male,Construction,1289.9
Aug-20,Victoria,Male,Wholesale Trade,1326
Aug-20,Victoria,Male,Retail Trade,897.4
Aug-20,Victoria,Male,Accommodation and Food Services,750
Aug-20,Victoria,Male,"Transport, Postal and Warehousing",1299.9
Aug-20,Victoria,Male,Information Media and Telecommunications,1681.9
Aug-20,Victoria,Male,Financial and Insurance Services,1797.4
Aug-20,Victoria,Male,"Rental, Hiring and Real Estate Services",1278.2
Aug-20,Victoria,Male,"Professional, Scientific and Technical Services",1561.8
Aug-20,Victoria,Male,Administrative and Support Services,1001.1
Aug-20,Victoria,Male,Public Administration and Safety,1571.2
Aug-20,Victoria,Male,Education and Training,1561
Aug-20,Victoria,Male,Health Care and Social Assistance,1300.7
Aug-20,Victoria,Male,Arts and Recreation Services,936.7
Aug-20,Victoria,Male,Other Services,1084.4
Aug-20,Victoria,Female,"Agriculture, Forestry and Fishing",0
Aug-20,Victoria,Female,Mining,0
Aug-20,Victoria,Female,Manufacturing,1000
Aug-20,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
Aug-20,Victoria,Female,Construction,1269.5
Aug-20,Victoria,Female,Wholesale Trade,1150
Aug-20,Victoria,Female,Retail Trade,750
Aug-20,Victoria,Female,Accommodation and Food Services,561.3
Aug-20,Victoria,Female,"Transport, Postal and Warehousing",1060.3
Aug-20,Victoria,Female,Information Media and Telecommunications,1104.9
Aug-20,Victoria,Female,Financial and Insurance Services,1261.9
Aug-20,Victoria,Female,"Rental, Hiring and Real Estate Services",883.8
Aug-20,Victoria,Female,"Professional, Scientific and Technical Services",1150
Aug-20,Victoria,Female,Administrative and Support Services,750
Aug-20,Victoria,Female,Public Administration and Safety,1500
Aug-20,Victoria,Female,Education and Training,1118.8
Aug-20,Victoria,Female,Health Care and Social Assistance,1039.7
Aug-20,Victoria,Female,Arts and Recreation Services,750
Aug-20,Victoria,Female,Other Services,750
Aug-20,Queensland,Male,"Agriculture, Forestry and Fishing",985.5
Aug-20,Queensland,Male,Mining,2351.6
Aug-20,Queensland,Male,Manufacturing,1236.3
Aug-20,Queensland,Male,"Electricity, Gas, Water and Waste Services",1675.3
Aug-20,Queensland,Male,Construction,1400
Aug-20,Queensland,Male,Wholesale Trade,1200
Aug-20,Queensland,Male,Retail Trade,800
Aug-20,Queensland,Male,Accommodation and Food Services,737.5
Aug-20,Queensland,Male,"Transport, Postal and Warehousing",1233.4
Aug-20,Queensland,Male,Information Media and Telecommunications,964.5
Aug-20,Queensland,Male,Financial and Insurance Services,1902.6
Aug-20,Queensland,Male,"Rental, Hiring and Real Estate Services",1175.6
Aug-20,Queensland,Male,"Professional, Scientific and Technical Services",1537.4
Aug-20,Queensland,Male,Administrative and Support Services,1024.2
Aug-20,Queensland,Male,Public Administration and Safety,1536.6
Aug-20,Queensland,Male,Education and Training,1551.7
Aug-20,Queensland,Male,Health Care and Social Assistance,1250.8
Aug-20,Queensland,Male,Arts and Recreation Services,1143.5
Aug-20,Queensland,Male,Other Services,1150
Aug-20,Queensland,Female,"Agriculture, Forestry and Fishing",0
Aug-20,Queensland,Female,Mining,0
Aug-20,Queensland,Female,Manufacturing,999.3
Aug-20,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-20,Queensland,Female,Construction,1032.7
Aug-20,Queensland,Female,Wholesale Trade,999.8
Aug-20,Queensland,Female,Retail Trade,650
Aug-20,Queensland,Female,Accommodation and Food Services,479.7
Aug-20,Queensland,Female,"Transport, Postal and Warehousing",1099.4
Aug-20,Queensland,Female,Information Media and Telecommunications,0
Aug-20,Queensland,Female,Financial and Insurance Services,1099
Aug-20,Queensland,Female,"Rental, Hiring and Real Estate Services",1036.2
Aug-20,Queensland,Female,"Professional, Scientific and Technical Services",1069.4
Aug-20,Queensland,Female,Administrative and Support Services,848.3
Aug-20,Queensland,Female,Public Administration and Safety,1449.6
Aug-20,Queensland,Female,Education and Training,1109.1
Aug-20,Queensland,Female,Health Care and Social Assistance,1050
Aug-20,Queensland,Female,Arts and Recreation Services,750
Aug-20,Queensland,Female,Other Services,1000
Aug-20,South Australia,Male,"Agriculture, Forestry and Fishing",896.2
Aug-20,South Australia,Male,Mining,2301.7
Aug-20,South Australia,Male,Manufacturing,1200
Aug-20,South Australia,Male,"Electricity, Gas, Water and Waste Services",0
Aug-20,South Australia,Male,Construction,1200
Aug-20,South Australia,Male,Wholesale Trade,1272.9
Aug-20,South Australia,Male,Retail Trade,852.5
Aug-20,South Australia,Male,Accommodation and Food Services,574.7
Aug-20,South Australia,Male,"Transport, Postal and Warehousing",1200
Aug-20,South Australia,Male,Information Media and Telecommunications,1547.4
Aug-20,South Australia,Male,Financial and Insurance Services,1734.3
Aug-20,South Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-20,South Australia,Male,"Professional, Scientific and Technical Services",1882.2
Aug-20,South Australia,Male,Administrative and Support Services,837.9
Aug-20,South Australia,Male,Public Administration and Safety,1769.9
Aug-20,South Australia,Male,Education and Training,1491
Aug-20,South Australia,Male,Health Care and Social Assistance,1330.4
Aug-20,South Australia,Male,Arts and Recreation Services,1020.1
Aug-20,South Australia,Male,Other Services,1000.9
Aug-20,South Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-20,South Australia,Female,Mining,0
Aug-20,South Australia,Female,Manufacturing,928.2
Aug-20,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-20,South Australia,Female,Construction,649.9
Aug-20,South Australia,Female,Wholesale Trade,1047
Aug-20,South Australia,Female,Retail Trade,661.4
Aug-20,South Australia,Female,Accommodation and Food Services,599.1
Aug-20,South Australia,Female,"Transport, Postal and Warehousing",1009.3
Aug-20,South Australia,Female,Information Media and Telecommunications,0
Aug-20,South Australia,Female,Financial and Insurance Services,1232.4
Aug-20,South Australia,Female,"Rental, Hiring and Real Estate Services",1080.9
Aug-20,South Australia,Female,"Professional, Scientific and Technical Services",1150.4
Aug-20,South Australia,Female,Administrative and Support Services,770.9
Aug-20,South Australia,Female,Public Administration and Safety,1296.9
Aug-20,South Australia,Female,Education and Training,1193.7
Aug-20,South Australia,Female,Health Care and Social Assistance,1000
Aug-20,South Australia,Female,Arts and Recreation Services,750
Aug-20,South Australia,Female,Other Services,835
Aug-20,Western Australia,Male,"Agriculture, Forestry and Fishing",921.9
Aug-20,Western Australia,Male,Mining,2628.8
Aug-20,Western Australia,Male,Manufacturing,1349
Aug-20,Western Australia,Male,"Electricity, Gas, Water and Waste Services",2141.8
Aug-20,Western Australia,Male,Construction,1449.8
Aug-20,Western Australia,Male,Wholesale Trade,1705
Aug-20,Western Australia,Male,Retail Trade,800
Aug-20,Western Australia,Male,Accommodation and Food Services,750
Aug-20,Western Australia,Male,"Transport, Postal and Warehousing",1222.4
Aug-20,Western Australia,Male,Information Media and Telecommunications,0
Aug-20,Western Australia,Male,Financial and Insurance Services,2406
Aug-20,Western Australia,Male,"Rental, Hiring and Real Estate Services",1649.5
Aug-20,Western Australia,Male,"Professional, Scientific and Technical Services",2003.1
Aug-20,Western Australia,Male,Administrative and Support Services,1096.1
Aug-20,Western Australia,Male,Public Administration and Safety,1800
Aug-20,Western Australia,Male,Education and Training,1583.6
Aug-20,Western Australia,Male,Health Care and Social Assistance,1406.4
Aug-20,Western Australia,Male,Arts and Recreation Services,687.4
Aug-20,Western Australia,Male,Other Services,1494.2
Aug-20,Western Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-20,Western Australia,Female,Mining,2071
Aug-20,Western Australia,Female,Manufacturing,750
Aug-20,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-20,Western Australia,Female,Construction,1280.1
Aug-20,Western Australia,Female,Wholesale Trade,0
Aug-20,Western Australia,Female,Retail Trade,675.8
Aug-20,Western Australia,Female,Accommodation and Food Services,713.7
Aug-20,Western Australia,Female,"Transport, Postal and Warehousing",1187.4
Aug-20,Western Australia,Female,Information Media and Telecommunications,0
Aug-20,Western Australia,Female,Financial and Insurance Services,903.5
Aug-20,Western Australia,Female,"Rental, Hiring and Real Estate Services",949.3
Aug-20,Western Australia,Female,"Professional, Scientific and Technical Services",1190
Aug-20,Western Australia,Female,Administrative and Support Services,750
Aug-20,Western Australia,Female,Public Administration and Safety,1436.4
Aug-20,Western Australia,Female,Education and Training,1050.4
Aug-20,Western Australia,Female,Health Care and Social Assistance,1000
Aug-20,Western Australia,Female,Arts and Recreation Services,750
Aug-20,Western Australia,Female,Other Services,750
Aug-20,Tasmania,Male,"Agriculture, Forestry and Fishing",1100
Aug-20,Tasmania,Male,Mining,0
Aug-20,Tasmania,Male,Manufacturing,1216.6
Aug-20,Tasmania,Male,"Electricity, Gas, Water and Waste Services",1395.9
Aug-20,Tasmania,Male,Construction,1047.6
Aug-20,Tasmania,Male,Wholesale Trade,1015.8
Aug-20,Tasmania,Male,Retail Trade,804.5
Aug-20,Tasmania,Male,Accommodation and Food Services,750
Aug-20,Tasmania,Male,"Transport, Postal and Warehousing",1123.4
Aug-20,Tasmania,Male,Information Media and Telecommunications,0
Aug-20,Tasmania,Male,Financial and Insurance Services,0
Aug-20,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-20,Tasmania,Male,"Professional, Scientific and Technical Services",1343.5
Aug-20,Tasmania,Male,Administrative and Support Services,0
Aug-20,Tasmania,Male,Public Administration and Safety,1534
Aug-20,Tasmania,Male,Education and Training,1515
Aug-20,Tasmania,Male,Health Care and Social Assistance,1151.5
